"","Time","Latitude_Deg","Longitude_Deg","Hs_Wave_Height_m","Tp_Wave_Period_sec","Dominant_Wave_Direction_Deg","Mean_Wave_Direction__Deg","Time_ET"
"1",2026-02-16 23:00:00,"-100000.000000","-100000.000000","-100000.00","-100000.0","-100000","-100000",2026-02-16 18:00:00
"2",2026-02-17,"-100000.000000","-100000.000000","0.10","4.3","81","78",2026-02-16 19:00:00
"3",2026-02-17 01:00:00,"-100000.000000","-100000.000000","0.12","4.3","199","194",2026-02-16 20:00:00
"4",2026-02-19 14:00:00,"-100000.000000","-100000.000000","0.15","4.4","338","100",2026-02-19 09:00:00
"5",2026-02-19 15:00:00,"-100000.000000","-100000.000000","-100000.00","-100000.0","-100000","-100000",2026-02-19 10:00:00
"6",2026-02-19 16:00:00,"-100000.000000","-100000.000000","0.17","5.2","74","63",2026-02-19 11:00:00
"7",2026-02-19 17:00:00,"-100000.000000","-100000.000000","0.24","3.7","199","245",2026-02-19 12:00:00
"8",2026-02-19 18:00:00,"-100000.000000","-100000.000000","0.21","3.9","333","345",2026-02-19 13:00:00
"9",2026-02-19 19:00:00,"-100000.000000","-100000.000000","-100000.00","-100000.0","-100000","-100000",2026-02-19 14:00:00
"10",2026-02-19 20:00:00,"-100000.000000","-100000.000000","0.18","5.7","222","114",2026-02-19 15:00:00
"11",2026-02-19 21:00:00,"-100000.000000","-100000.000000","0.15","5.8","195","216",2026-02-19 16:00:00
"12",2026-02-19 22:00:00,"-100000.000000","-100000.000000","0.15","5.4","289","301",2026-02-19 17:00:00
1,2026-02-19 22:00:00,-100000.000000,-100000.000000,0.15,5.4,289,301,2026-02-19 17:00:00
1,2026-02-19 22:00:00,-100000.000000,-100000.000000,0.15,5.4,289,301,2026-02-19 17:00:00
1,2026-02-19 22:00:00,-100000.000000,-100000.000000,0.15,5.4,289,301,2026-02-19 17:00:00
1,2026-02-19 22:00:00,-100000.000000,-100000.000000,0.15,5.4,289,301,2026-02-19 17:00:00
1,2026-02-19 22:00:00,-100000.000000,-100000.000000,0.15,5.4,289,301,2026-02-19 17:00:00
1,2026-02-19 22:00:00,-100000.000000,-100000.000000,0.15,5.4,289,301,2026-02-19 17:00:00
1,2026-02-19 22:00:00,-100000.000000,-100000.000000,0.15,5.4,289,301,2026-02-19 17:00:00
1,2026-02-19 22:00:00,-100000.000000,-100000.000000,0.15,5.4,289,301,2026-02-19 17:00:00
1,2026-02-19 22:00:00,-100000.000000,-100000.000000,0.15,5.4,289,301,2026-02-19 17:00:00
1,2026-02-19 22:00:00,-100000.000000,-100000.000000,0.15,5.4,289,301,2026-02-19 17:00:00
1,2026-02-19 22:00:00,-100000.000000,-100000.000000,0.15,5.4,289,301,2026-02-19 17:00:00
1,2026-02-19 22:00:00,-100000.000000,-100000.000000,0.15,5.4,289,301,2026-02-19 17:00:00
1,2026-02-19 22:00:00,-100000.000000,-100000.000000,0.15,5.4,289,301,2026-02-19 17:00:00
1,2026-02-19 22:00:00,-100000.000000,-100000.000000,0.15,5.4,289,301,2026-02-19 17:00:00
